title,content_rating,budget,gross,imdb_score,num_critic_for_reviews,num_voted_users,num_user_for_reviews,movie_facebook_likes,cast_total_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,director_facebook_likes,genre,actors,year,runtime_minutes,votes,metascore
Ghostbusters,PG-13,144000000.0,118099659.0,5.5,464.0,69757,1211.0,62000,2097,783.0,370.0,322.0,176.0,"Action,Comedy,Fantasy","Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones",2016,116,147717,60.0
Ghostbusters,PG-13,144000000.0,118099659.0,5.5,464.0,69790,1211.0,62000,2097,783.0,370.0,322.0,176.0,"Action,Comedy,Fantasy","Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones",2016,116,147717,60.0
Beowulf,PG-13,150000000.0,82161969.0,6.3,287.0,142440,505.0,3000,31523,18000.0,12000.0,964.0,0.0,"Animation,Action,Adventure","Ray Winstone, Crispin Glover, Angelina Jolie,Robin Wright",2007,115,146566,59.0
Kung Fu Panda 3,PG,145000000.0,143523463.0,7.2,210.0,64322,145.0,24000,36095,24000.0,11000.0,967.0,5.0,"Animation,Action,Adventure","Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie",2016,95,89791,66.0
Mission: Impossible - Ghost Protocol,PG-13,145000000.0,209364921.0,7.4,432.0,365104,512.0,35000,21768,10000.0,10000.0,690.0,663.0,"Action,Adventure,Thriller","Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton",2011,132,382459,73.0
Exodus: Gods and Kings,PG-13,140000000.0,65007045.0,6.1,314.0,128682,657.0,51000,26490,23000.0,893.0,748.0,0.0,"Action,Adventure,Drama","Christian Bale, Joel Edgerton, Ben Kingsley, Sigourney Weaver",2014,150,137299,52.0
Exodus: Gods and Kings,PG-13,140000000.0,65007045.0,6.1,314.0,128694,657.0,51000,26489,23000.0,892.0,748.0,0.0,"Action,Adventure,Drama","Christian Bale, Joel Edgerton, Ben Kingsley, Sigourney Weaver",2014,150,137299,52.0
Star Trek,PG-13,150000000.0,257704099.0,8.0,518.0,504419,1559.0,19000,39284,26000.0,12000.0,981.0,14000.0,"Action,Adventure,Sci-Fi","Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy",2009,127,526324,82.0
How to Train Your Dragon 2,PG,145000000.0,176997107.0,7.9,292.0,221128,343.0,46000,23378,18000.0,3000.0,953.0,255.0,"Animation,Action,Adventure","Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson",2014,102,237565,76.0
Gods of Egypt,PG-13,140000000.0,31141074.0,5.5,184.0,51892,273.0,24000,19769,18000.0,934.0,284.0,295.0,"Action,Adventure,Fantasy","Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman",2016,126,73568,25.0
Watchmen,R,130000000.0,107503316.0,7.7,451.0,392474,1229.0,18000,2530,986.0,745.0,413.0,0.0,"Action,Drama,Mystery","Jackie Earle Haley, Patrick Wilson, Carla Gugino,Malin Akerman",2009,162,410249,56.0
G.I. Joe: Retaliation,PG-13,130000000.0,122512052.0,5.8,351.0,146352,288.0,42000,31958,17000.0,12000.0,934.0,209.0,"Action,Adventure,Sci-Fi","Dwayne Johnson, Channing Tatum, Adrianne Palicki,Byung-hun Lee",2013,110,152145,41.0
Captain America: The First Avenger,PG-13,140000000.0,176636816.0,6.9,510.0,508818,679.0,46000,19761,11000.0,3000.0,2000.0,394.0,"Action,Adventure,Sci-Fi","Chris Evans, Hugo Weaving, Samuel L. Jackson,Hayley Atwell",2011,124,547368,66.0
The Twilight Saga: Breaking Dawn - Part 2,PG-13,120000000.0,292298923.0,5.5,322.0,185394,329.0,65000,59177,21000.0,17000.0,12000.0,386.0,"Adventure,Drama,Fantasy","Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",2012,115,194329,52.0
The Twilight Saga: Breaking Dawn - Part 2,PG-13,120000000.0,292298923.0,5.5,322.0,185394,329.0,65000,59177,21000.0,17000.0,12000.0,386.0,"Adventure,Drama,Fantasy","Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",2012,115,194329,52.0
The Incredible Hulk,PG-13,150000000.0,134518390.0,6.8,354.0,326286,643.0,0,5811,3000.0,1000.0,882.0,255.0,"Action,Adventure,Sci-Fi","Edward Norton, Liv Tyler, Tim Roth, William Hurt",2008,112,342355,61.0
The BFG,PG,140000000.0,52792307.0,6.8,252.0,12572,106.0,27000,1950,535.0,400.0,358.0,14000.0,"Adventure,Family,Fantasy","Mark Rylance, Ruby Barnhill, Penelope Wilton,Jemaine Clement",2016,117,50853,66.0
The Revenant,R,135000000.0,183635922.0,8.1,556.0,406020,1188.0,190000,57108,29000.0,27000.0,733.0,0.0,"Adventure,Drama,Thriller","Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",2015,156,499424,76.0
The Bourne Ultimatum,PG-13,110000000.0,227137090.0,8.1,329.0,491077,820.0,0,17369,13000.0,897.0,883.0,521.0,"Action,Mystery,Thriller","Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles",2007,115,525700,85.0
Kung Fu Panda,PG,130000000.0,215395021.0,7.6,266.0,307029,360.0,6000,12754,11000.0,967.0,562.0,54.0,"Animation,Action,Adventure","Jack Black, Ian McShane,Angelina Jolie, Dustin Hoffman",2008,92,329788,73.0
Ant-Man,PG-13,130000000.0,180191634.0,7.4,517.0,313866,549.0,61000,5730,2000.0,2000.0,680.0,235.0,"Action,Adventure,Comedy","Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly",2015,117,368912,64.0
The Hunger Games: Catching Fire,PG-13,130000000.0,424645577.0,7.6,502.0,498397,706.0,82000,49355,34000.0,14000.0,523.0,508.0,"Action,Adventure,Mystery","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman",2013,146,525646,76.0
Home,PG,135000000.0,177343675.0,6.7,165.0,70121,214.0,26000,17883,17000.0,523.0,183.0,12.0,"Animation,Adventure,Comedy","Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez",2015,94,77447,55.0
Home,PG,135000000.0,177343675.0,6.7,165.0,70133,214.0,26000,17883,17000.0,523.0,183.0,12.0,"Animation,Adventure,Comedy","Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez",2015,94,77447,55.0
Home,PG,135000000.0,177343675.0,6.7,165.0,70136,214.0,26000,17883,17000.0,523.0,183.0,12.0,"Animation,Adventure,Comedy","Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez",2015,94,77447,55.0
Salt,PG-13,110000000.0,118311368.0,6.4,330.0,245621,514.0,23000,12406,11000.0,702.0,282.0,176.0,"Action,Crime,Mystery","Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",2010,100,255813,65.0
Noah,PG-13,125000000.0,101160529.0,5.8,434.0,200022,1240.0,71000,32355,12000.0,9000.0,8000.0,0.0,"Action,Adventure,Drama","Russell Crowe, Jennifer Connelly, Anthony Hopkins, Emma Watson",2014,138,209700,68.0
Australia,PG-13,130000000.0,49551662.0,6.6,245.0,102338,450.0,0,921,309.0,284.0,165.0,1000.0,"Adventure,Drama,Romance","Nicole Kidman, Hugh Jackman, Shea Adams, Eddie Baroo",2008,165,106115,53.0
After Earth,PG-13,130000000.0,60522097.0,4.9,349.0,158720,744.0,37000,14168,10000.0,943.0,894.0,0.0,"Action,Adventure,Sci-Fi","Jaden Smith, David Denman, Will Smith,Sophie Okonedo",2013,100,166512,33.0
Night at the Museum: Secret of the Tomb,PG,127000000.0,113733726.0,6.2,154.0,67223,126.0,11000,53587,49000.0,3000.0,1000.0,189.0,"Adventure,Comedy,Family","Ben Stiller, Robin Williams, Owen Wilson, Dick Van Dyke",2014,98,74886,47.0
Megamind,PG,130000000.0,148337537.0,7.3,233.0,172754,187.0,13000,46120,24000.0,11000.0,8000.0,96.0,"Animation,Action,Comedy","Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey",2010,95,183926,63.0
The Hunger Games: Mockingjay - Part 1,PG-13,125000000.0,337103873.0,6.7,403.0,305008,591.0,52000,81385,34000.0,22000.0,14000.0,508.0,"Action,Adventure,Sci-Fi","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",2014,123,331902,64.0
The Da Vinci Code,PG-13,125000000.0,217536138.0,6.6,294.0,314253,1966.0,0,16008,15000.0,574.0,362.0,2000.0,"Mystery,Thriller","Tom Hanks, Audrey Tautou, Jean Reno, Ian McKellen",2006,149,338280,46.0
Fast Five,PG-13,125000000.0,209805005.0,7.3,342.0,284792,366.0,54000,55345,23000.0,14000.0,12000.0,681.0,"Action,Crime,Thriller","Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster",2011,131,300803,66.0
Sherlock Holmes: A Game of Shadows,PG-13,125000000.0,186830669.0,7.5,382.0,338635,412.0,39000,22403,21000.0,979.0,154.0,0.0,"Action,Adventure,Crime","Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams",2011,129,357436,48.0
Clash of the Titans,PG-13,125000000.0,163192114.0,5.8,344.0,229679,637.0,15000,18003,14000.0,1000.0,850.0,255.0,"Action,Adventure,Fantasy","Sam Worthington, Liam Neeson, Ralph Fiennes,Jason Flemyng",2010,106,238206,39.0
Clash of the Titans,PG-13,125000000.0,163192114.0,5.8,344.0,229687,637.0,15000,18003,14000.0,1000.0,850.0,255.0,"Action,Adventure,Fantasy","Sam Worthington, Liam Neeson, Ralph Fiennes,Jason Flemyng",2010,106,238206,39.0
Total Recall,R,65000000.0,119412921.0,7.5,196.0,240241,391.0,0,1441,605.0,308.0,217.0,719.0,"Action,Adventure,Mystery","Colin Farrell, Bokeem Woodbine, Bryan Cranston,Kate Beckinsale",2012,118,210965,43.0
Total Recall,R,65000000.0,119412921.0,7.5,196.0,240241,391.0,0,1441,605.0,308.0,217.0,719.0,"Action,Adventure,Mystery","Colin Farrell, Bokeem Woodbine, Bryan Cranston,Kate Beckinsale",2012,118,210965,43.0
The Bourne Legacy,PG-13,125000000.0,113165635.0,6.7,436.0,229823,504.0,31000,12175,10000.0,826.0,602.0,209.0,"Action,Adventure,Mystery","Jeremy Renner, Rachel Weisz, Edward Norton, Scott Glenn",2012,135,245374,61.0
Life of Pi,PG,120000000.0,124976634.0,8.0,552.0,440084,755.0,122000,2121,774.0,358.0,341.0,0.0,"Adventure,Drama,Fantasy","Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu",2012,127,471109,79.0
Ghost Rider,PG-13,110000000.0,115802596.0,5.2,276.0,182661,681.0,0,14017,12000.0,701.0,402.0,160.0,"Action,Fantasy,Thriller","Nicolas Cage, Eva Mendes, Sam Elliott, Matt Long",2007,114,190673,35.0
Jason Bourne,PG-13,120000000.0,108521835.0,7.1,267.0,40123,297.0,31000,13752,13000.0,365.0,265.0,521.0,"Action,Thriller","Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel",2016,123,150823,58.0
Prometheus,R,130000000.0,126464904.0,7.0,775.0,456260,2326.0,97000,24098,13000.0,9000.0,641.0,0.0,"Adventure,Mystery,Sci-Fi","Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron",2012,124,485820,65.0
RoboCop,PG-13,100000000.0,58607007.0,6.2,492.0,182899,630.0,60000,14161,10000.0,2000.0,1000.0,294.0,"Action,Crime,Sci-Fi","Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish",2014,117,190833,52.0
RoboCop,PG-13,100000000.0,58607007.0,6.2,492.0,182910,630.0,60000,14160,10000.0,2000.0,1000.0,294.0,"Action,Crime,Sci-Fi","Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish",2014,117,190833,52.0
Oblivion,PG-13,120000000.0,89021735.0,7.0,539.0,387436,892.0,71000,22004,11000.0,10000.0,1000.0,364.0,"Action,Adventure,Mystery","Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko",2013,124,410125,54.0
The Wolverine,PG-13,120000000.0,132550960.0,6.7,440.0,328067,533.0,68000,23755,20000.0,992.0,929.0,446.0,"Action,Adventure,Sci-Fi","Hugh Jackman, Will Yun Lee, Tao Okamoto, Rila Fukushima",2013,126,355362,60.0
The Huntsman: Winter's War,PG-13,115000000.0,47952020.0,6.1,231.0,37750,134.0,16000,46719,26000.0,11000.0,9000.0,19.0,"Action,Adventure,Drama","Chris Hemsworth, Jessica Chastain, Charlize Theron, Emily Blunt",2016,114,66766,35.0
Teenage Mutant Ninja Turtles,PG-13,125000000.0,190871240.0,5.9,348.0,167085,491.0,62000,2690,833.0,809.0,429.0,473.0,"Action,Adventure,Comedy","Megan Fox, Will Arnett, William Fichtner, Noel Fisher",2014,101,178527,31.0
Teenage Mutant Ninja Turtles,PG-13,125000000.0,190871240.0,5.9,348.0,167089,491.0,62000,2690,833.0,809.0,429.0,473.0,"Action,Adventure,Comedy","Megan Fox, Will Arnett, William Fichtner, Noel Fisher",2014,101,178527,31.0
Gravity,PG-13,100000000.0,274084951.0,7.8,738.0,582917,1885.0,147000,87,39.0,23.0,13.0,0.0,"Drama,Sci-Fi,Thriller","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",2013,91,622089,96.0
Teenage Mutant Ninja Turtles: Out of the Shadows,PG-13,135000000.0,81638674.0,6.3,181.0,17533,115.0,12000,8306,5000.0,833.0,799.0,13.0,"Action,Adventure,Comedy","Megan Fox, Will Arnett, Tyler Perry, Laura Linney",2016,112,59312,40.0
Fantastic Four,PG-13,120000000.0,56114221.0,4.3,369.0,110486,695.0,41000,1261,596.0,360.0,78.0,128.0,"Action,Adventure,Sci-Fi","Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell",2015,100,121847,27.0
Fantastic Four,PG-13,120000000.0,56114221.0,4.3,369.0,110486,695.0,41000,1261,596.0,360.0,78.0,128.0,"Action,Adventure,Sci-Fi","Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell",2015,100,121847,27.0
San Andreas,PG-13,110000000.0,155181732.0,6.1,358.0,147497,499.0,52000,16718,12000.0,2000.0,884.0,62.0,"Action,Adventure,Drama","Dwayne Johnson, Carla Gugino, Alexandra Daddario,Colton Haynes",2015,114,161396,43.0
Insurgent,PG-13,110000000.0,129995817.0,6.3,263.0,154621,258.0,27000,22622,14000.0,5000.0,1000.0,124.0,"Adventure,Sci-Fi,Thriller","Shailene Woodley, Ansel Elgort, Theo James,Kate Winslet",2015,119,171970,42.0
300: Rise of an Empire,R,110000000.0,106369117.0,6.2,366.0,225273,523.0,71000,10583,6000.0,1000.0,1000.0,263.0,"Action,Drama,Fantasy","Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson",2014,102,237887,48.0
Allegiant,PG-13,110000000.0,66002193.0,5.8,181.0,44296,144.0,12000,12452,6000.0,5000.0,943.0,124.0,"Action,Adventure,Mystery","Shailene Woodley, Theo James, Jeff Daniels,Naomi Watts",2016,120,70504,33.0
Real Steel,PG-13,110000000.0,85463309.0,7.1,327.0,254841,426.0,36000,22254,20000.0,929.0,544.0,189.0,"Action,Drama,Family","Hugh Jackman, Evangeline Lilly, Dakota Goyo,Anthony Mackie",2011,127,264480,56.0
Live Free or Die Hard,PG-13,110000000.0,134520804.0,7.2,354.0,336235,782.0,0,13961,13000.0,300.0,297.0,235.0,"Action,Adventure,Thriller","Bruce Willis, Justin Long, Timothy Olyphant, Maggie Q",2007,128,347567,69.0
The Princess and the Frog,G,105000000.0,104374107.0,7.1,228.0,89351,214.0,5000,2480,852.0,578.0,525.0,63.0,"Animation,Adventure,Comedy","Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos",2009,97,95480,73.0
The Martian,PG-13,108000000.0,228430993.0,8.1,568.0,472488,1023.0,153000,14831,13000.0,801.0,372.0,0.0,"Adventure,Drama,Sci-Fi","Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",2015,144,556097,80.0
Casino Royale,PG-13,150000000.0,167007184.0,8.0,400.0,470483,2301.0,0,9125,6000.0,1000.0,834.0,258.0,"Action,Adventure,Thriller","Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright",2006,144,495106,80.0
Casino Royale,PG-13,150000000.0,167007184.0,8.0,400.0,470501,2301.0,0,9125,6000.0,1000.0,834.0,258.0,"Action,Adventure,Thriller","Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright",2006,144,495106,80.0
Public Enemies,R,100000000.0,97030725.0,7.0,357.0,230931,585.0,0,64599,40000.0,23000.0,1000.0,0.0,"Biography,Crime,Drama","Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke",2009,140,240323,70.0
American Gangster,R,100000000.0,130127620.0,7.8,300.0,324671,458.0,0,20354,18000.0,782.0,561.0,0.0,"Biography,Crime,Drama","Denzel Washington, Russell Crowe, Chiwetel Ejiofor,Josh Brolin",2007,157,337835,76.0
The Other Guys,PG-13,100000000.0,119219978.0,6.7,265.0,189806,316.0,16000,20233,12000.0,8000.0,107.0,285.0,"Action,Comedy,Crime","Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes",2010,107,199900,64.0
Django Unchained,R,100000000.0,162804648.0,8.5,765.0,955174,1193.0,199000,40978,29000.0,11000.0,265.0,16000.0,"Drama,Western","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,Kerry Washington",2012,165,1039115,81.0
The Expendables 2,R,92000000.0,85017401.0,6.7,383.0,246803,474.0,108000,57881,26000.0,13000.0,13000.0,165.0,"Action,Adventure,Thriller","Sylvester Stallone, Liam Hemsworth, Randy Couture,Jean-Claude Van Damme",2012,103,257395,51.0
Blood Diamond,R,100000000.0,57366262.0,8.0,166.0,400292,657.0,14000,33160,29000.0,3000.0,452.0,380.0,"Adventure,Drama,Thriller","Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers",2006,143,422014,64.0
The Wolf of Wall Street,R,100000000.0,116866727.0,8.2,606.0,780588,1138.0,138000,46057,29000.0,11000.0,4000.0,17000.0,"Biography,Comedy,Crime","Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey",2013,180,865134,75.0
Cloud Atlas,R,102000000.0,27098580.0,7.5,511.0,284825,828.0,124000,22686,15000.0,5000.0,1000.0,670.0,"Drama,Sci-Fi","Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving",2012,172,298651,55.0
Hercules,PG-13,100000000.0,72660029.0,6.0,245.0,115687,269.0,21000,16235,12000.0,3000.0,467.0,420.0,"Action,Adventure","Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes",2014,98,122838,47.0
Hercules,PG-13,100000000.0,72660029.0,6.0,245.0,115687,269.0,21000,16235,12000.0,3000.0,467.0,420.0,"Action,Adventure","Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes",2014,98,122838,47.0
The Expendables 3,PG-13,90000000.0,39292022.0,6.1,320.0,127258,351.0,56000,52610,26000.0,13000.0,11000.0,385.0,"Action,Adventure,Thriller","Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas",2014,126,137568,35.0
Point Break,PG-13,105000000.0,28772222.0,5.3,163.0,33953,163.0,37000,3962,1000.0,897.0,848.0,19.0,"Action,Crime,Sport","Edgar Ramírez, Luke Bracey, Ray Winstone, Teresa Palmer",2015,114,44553,34.0
Point Break,PG-13,105000000.0,28772222.0,5.3,163.0,33958,163.0,37000,3962,1000.0,897.0,848.0,19.0,"Action,Crime,Sport","Edgar Ramírez, Luke Bracey, Ray Winstone, Teresa Palmer",2015,114,44553,34.0
In the Heart of the Sea,PG-13,100000000.0,24985612.0,7.0,289.0,71782,161.0,27000,28328,26000.0,911.0,571.0,2000.0,"Action,Adventure,Biography","Chris Hemsworth, Cillian Murphy, Brendan Gleeson,Ben Whishaw",2015,122,90372,47.0
Sex and the City 2,R,100000000.0,95328937.0,4.3,221.0,59581,293.0,0,4555,962.0,740.0,722.0,127.0,"Comedy,Drama,Romance","Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon",2010,146,62403,27.0
Cinderella,PG,95000000.0,201148159.0,7.0,343.0,103737,322.0,56000,4671,2000.0,520.0,502.0,0.0,"Drama,Family,Fantasy","Lily James, Cate Blanchett, Richard Madden,Helena Bonham Carter",2015,105,117018,67.0
Cinderella,PG,95000000.0,201148159.0,7.0,343.0,103749,323.0,56000,4671,2000.0,520.0,502.0,0.0,"Drama,Family,Fantasy","Lily James, Cate Blanchett, Richard Madden,Helena Bonham Carter",2015,105,117018,67.0
The Lovely Bones,PG-13,65000000.0,43982842.0,6.7,308.0,125109,593.0,16000,2370,873.0,560.0,310.0,0.0,"Drama,Fantasy,Thriller","Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon",2009,135,130702,42.0
The Lovely Bones,PG-13,65000000.0,43982842.0,6.7,308.0,125114,593.0,16000,2369,873.0,559.0,310.0,0.0,"Drama,Fantasy,Thriller","Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon",2009,135,130702,42.0
Seventh Son,PG-13,95000000.0,17176900.0,5.5,175.0,54501,154.0,16000,17098,12000.0,3000.0,766.0,44.0,"Action,Adventure,Fantasy","Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander",2014,102,59958,30.0
Transcendence,PG-13,100000000.0,23014504.0,6.3,355.0,172707,462.0,37000,54031,40000.0,11000.0,968.0,0.0,"Drama,Mystery,Romance","Johnny Depp, Rebecca Hall, Morgan Freeman, Cillian Murphy",2014,119,184564,42.0
Rise of the Planet of the Apes,PG-13,93000000.0,176740650.0,7.6,529.0,403836,646.0,47000,13118,11000.0,1000.0,779.0,81.0,"Action,Drama,Sci-Fi","James Franco, Andy Serkis, Freida Pinto, Karin Konoval",2011,105,422290,68.0
Percy Jackson & the Olympians: The Lightning Thief,PG,95000000.0,88761720.0,5.9,217.0,141179,419.0,9000,14024,8000.0,3000.0,1000.0,0.0,"Adventure,Family,Fantasy","Logan Lerman, Kevin McKidd, Steve Coogan,Brandon T. Jackson",2010,118,148949,47.0
Unstoppable,PG-13,100000000.0,81557479.0,6.8,316.0,149947,326.0,18000,25780,18000.0,3000.0,1000.0,12000.0,"Action,Thriller","Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee",2010,98,157499,69.0
The Secret Life of Walter Mitty,PG,90000000.0,58229120.0,7.3,362.0,236421,515.0,70000,5095,3000.0,806.0,423.0,0.0,"Adventure,Comedy,Drama","Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn",2013,114,249877,54.0
The Departed,R,90000000.0,132373442.0,8.5,352.0,873649,2054.0,29000,45648,29000.0,13000.0,1000.0,17000.0,"Crime,Drama,Thriller","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",2006,151,937414,85.0
Tropic Thunder,R,92000000.0,110416702.0,7.0,308.0,307539,577.0,0,23484,21000.0,1000.0,918.0,0.0,"Action,Comedy","Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn",2008,107,321442,71.0
The Girl with the Dragon Tattoo,R,90000000.0,102515793.0,7.8,517.0,330152,632.0,54000,20388,18000.0,1000.0,585.0,21000.0,"Crime,Drama,Mystery","Daniel Craig, Rooney Mara, Christopher Plummer,Stellan Skarsgård",2011,158,348551,71.0
Sherlock Holmes,PG-13,90000000.0,209019489.0,7.6,415.0,477300,621.0,20000,23996,21000.0,979.0,727.0,0.0,"Action,Adventure,Crime","Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",2009,128,501769,57.0
You Don't Mess with the Zohan,PG-13,90000000.0,100018837.0,5.5,198.0,156348,380.0,0,13446,11000.0,600.0,503.0,221.0,"Action,Comedy","Adam Sandler, John Turturro, Emmanuelle Chriqui,Nick Swardson",2008,113,163144,54.0
Pixels,PG-13,88000000.0,78747585.0,5.6,253.0,89770,342.0,39000,35367,22000.0,11000.0,1000.0,0.0,"Action,Comedy,Family","Adam Sandler, Kevin James, Michelle Monaghan,Peter Dinklage",2015,105,101092,27.0
Percy Jackson: Sea of Monsters,PG,90000000.0,68558662.0,5.9,183.0,86627,204.0,28000,10882,8000.0,956.0,918.0,87.0,"Adventure,Family,Fantasy","Logan Lerman, Alexandra Daddario, Brandon T. Jackson, Nathan Fillion",2013,106,91684,39.0
Now You See Me 2,PG-13,90000000.0,64685359.0,6.9,196.0,40862,139.0,15000,23031,11000.0,11000.0,886.0,209.0,"Action,Adventure,Comedy","Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco",2016,129,156567,46.0
Rio,G,90000000.0,143618384.0,7.0,240.0,165333,186.0,19000,12071,11000.0,560.0,350.0,107.0,"Animation,Adventure,Comedy","Jesse Eisenberg, Anne Hathaway, George Lopez,Karen Disher",2011,96,173919,63.0
Happy Feet,PG,100000000.0,197992827.0,6.5,206.0,132501,548.0,0,70996,49000.0,20000.0,971.0,750.0,"Animation,Comedy,Family","Elijah Wood, Brittany Murphy, Hugh Jackman, Robin Williams",2006,108,141141,77.0
The Three Musketeers,PG-13,75000000.0,20315324.0,5.8,228.0,88542,254.0,19000,27694,14000.0,8000.0,5000.0,545.0,"Action,Adventure,Romance","Logan Lerman, Matthew Macfadyen, Ray Stevenson, Milla Jovovich",2011,110,92329,35.0
Enchanted,PG,85000000.0,127706877.0,7.1,222.0,142496,399.0,0,662,283.0,142.0,118.0,36.0,"Animation,Comedy,Family","Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey",2007,107,150353,75.0
Ocean's Thirteen,PG-13,85000000.0,117144465.0,6.9,238.0,256928,288.0,0,43499,14000.0,13000.0,11000.0,0.0,"Crime,Thriller","George Clooney, Brad Pitt, Matt Damon,Michael Mantell",2007,122,269581,62.0
Divergent,PG-13,85000000.0,150832203.0,6.7,459.0,341058,713.0,49000,22226,14000.0,5000.0,1000.0,168.0,"Adventure,Mystery,Sci-Fi","Shailene Woodley, Theo James, Kate Winslet, Jai Courtney",2014,139,362093,48.0
The Fast and the Furious: Tokyo Drift,PG-13,85000000.0,62494975.0,6.0,158.0,179500,378.0,0,1235,584.0,227.0,159.0,681.0,"Action,Crime,Thriller","Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette",2006,104,193479,45.0
Scott Pilgrim vs. the World,PG-13,60000000.0,31494270.0,7.5,393.0,273921,522.0,36000,12687,10000.0,1000.0,719.0,1000.0,"Action,Comedy,Fantasy","Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Alison Pill",2010,112,291457,69.0
Dredd,R,35000000.0,13401683.0,7.1,432.0,203458,588.0,46000,578,409.0,107.0,20.0,38.0,"Action,Sci-Fi","Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood",2012,95,213764,59.0
Dredd,R,35000000.0,13401683.0,7.1,432.0,203461,588.0,46000,578,409.0,107.0,20.0,38.0,"Action,Sci-Fi","Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood",2012,95,213764,59.0
Jumper,PG-13,85000000.0,80170146.0,6.1,238.0,243053,488.0,0,21863,17000.0,4000.0,521.0,218.0,"Action,Adventure,Sci-Fi","Hayden Christensen, Samuel L. Jackson, Jamie Bell,Rachel Bilson",2008,88,252503,35.0
Hellboy II: The Golden Army,PG-13,85000000.0,75754670.0,7.0,345.0,208422,342.0,3000,3632,3000.0,169.0,160.0,0.0,"Action,Adventure,Fantasy","Ron Perlman, Selma Blair, Doug Jones, John Alexander",2008,120,216932,78.0
Zodiac,R,65000000.0,33048353.0,7.7,377.0,301279,589.0,12000,36928,21000.0,15000.0,495.0,21000.0,"Crime,Drama,History","Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo,Anthony Edwards",2007,157,329683,78.0
